title_o,doi_o,journal_o,title_r,doi_r,journal_r,apa_ref_r,outcome,outcome_quote,outcome_quote_source,n_replications,comment_text
Relational diversity in social portfolios predicts well-being,10.1073/pnas.2120668119,Proceedings of the National Academy of Sciences,"Replication of a study from ""Relational diversity in social portfolios predicts well-being"" (PNAS | Collins et al. 2022)",10.5281/zenodo.17716051,Clearer Thinking,"Transparent Replications, &amp; Metskas, A. (2023). <i>Replication of a study from ""Relational diversity in social portfolios predicts well-being"" (PNAS | Collins et al. 2022)</i>. Clearer Thinking. https://doi.org/10.5281/ZENODO.17716051",successful,This finding was replicated in our study.,NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Transparent Replications, &amp; Metskas, A. (2023). <i>Replication of a study from ""Relational diversity in social portfolios predicts well-being"" (PNAS | Collins et al. 2022)</i>. Clearer Thinking. https://doi.org/10.5281/ZENODO.17716051
https://doi.org/10.5281/zenodo.17716051

Outcome: successful
Outcome quote: This finding was replicated in our study.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Actions really do speak louder than words—but only implicitly: Young children's understanding of false belief in action,10.1348/026151001166182,British Journal of Developmental Psychology,"Do young children track other's beliefs, or merely their perceptual access? An interactive, anticipatory measure of early theory of mind",10.1098/rsos.211278,Royal Society Open Science,"Barone, P., Wenzel, L., Proft, M., & Rakoczy, H. (2022). Do young children track other’s beliefs, or merely their perceptual access? An interactive, anticipatory measure of early theory of mind. Royal Society Open Science, 9(10). https://doi.org/10.1098/rsos.211278",successful,We successfully replicated the original findings: children's looking and interactive behaviour differed according to the agent's true or FB.,NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Barone, P., Wenzel, L., Proft, M., & Rakoczy, H. (2022). Do young children track other’s beliefs, or merely their perceptual access? An interactive, anticipatory measure of early theory of mind. Royal Society Open Science, 9(10). https://doi.org/10.1098/rsos.211278
https://doi.org/10.1098/rsos.211278

Outcome: successful
Outcome quote: We successfully replicated the original findings: children's looking and interactive behaviour differed according to the agent's true or FB.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
The Influence of Family and Social Factors on the Course of Psychiatric Illness,10.1192/bjp.129.2.125,British Journal of Psychiatry,Expressed Emotion and Schizophrenia in Italy,10.1192/bjp.161.2.223,British Journal of Psychiatry,"Bertrando, P., Beltz, J., Bressi, C., Clerici, M., Farma, T., Invernizzi, G., & Cazzullo, C. L. (1992). Expressed Emotion and Schizophrenia in Italy. British Journal of Psychiatry, 161(2), 223–229. https://doi.org/10.1192/bjp.161.2.223",successful,"At follow-up, the admission rate for the 9-month period was significantly higher for the high-EE group (P<0.05).",NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Bertrando, P., Beltz, J., Bressi, C., Clerici, M., Farma, T., Invernizzi, G., & Cazzullo, C. L. (1992). Expressed Emotion and Schizophrenia in Italy. British Journal of Psychiatry, 161(2), 223–229. https://doi.org/10.1192/bjp.161.2.223
https://doi.org/10.1192/bjp.161.2.223

Outcome: successful
Outcome quote: At follow-up, the admission rate for the 9-month period was significantly higher for the high-EE group (P<0.05).
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Association of the HSPG2 Gene with Neuroleptic-Induced Tardive Dyskinesia,10.1038/npp.2009.220,Neuropsychopharmacology,Support for association of HSPG2 with tardive dyskinesia in Caucasian populations,10.1038/tpj.2011.32,The Pharmacogenomics Journal,"Greenbaum, L., Alkelai, A., Zozulinsky, P., Kohn, Y., & Lerer, B. (2011). Support for association of HSPG2 with tardive dyskinesia in Caucasian populations. The Pharmacogenomics Journal, 12(6), 513–520. https://doi.org/10.1038/tpj.2011.32",successful,we were able to replicate the association of HSPG2 SNP rs2445142 with TD,NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Greenbaum, L., Alkelai, A., Zozulinsky, P., Kohn, Y., & Lerer, B. (2011). Support for association of HSPG2 with tardive dyskinesia in Caucasian populations. The Pharmacogenomics Journal, 12(6), 513–520. https://doi.org/10.1038/tpj.2011.32
https://doi.org/10.1038/tpj.2011.32

Outcome: successful
Outcome quote: we were able to replicate the association of HSPG2 SNP rs2445142 with TD
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Toddlers’ dysregulated fear predicts delta–beta coupling during preschool,10.1016/j.dcn.2015.09.007,Developmental Cognitive Neuroscience,"Dysregulated Fear, Social Inhibition, and Respiratory Sinus Arrhythmia: A Replication and Extension",10.1111/cdev.12774,Child Development,"Buss, K. A., Davis, E. L., Ram, N., & Coccia, M. (2018). Dysregulated Fear, Social Inhibition, and Respiratory Sinus Arrhythmia: A Replication and Extension. Child Development, 89(3), e214–e228. https://doi.org/10.1111/cdev.12774",successful,"Replicating prior findings, at 24 months, we identified a pattern of fearful behavior across contexts marked by higher fear to putatively low-threat situations.",NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Buss, K. A., Davis, E. L., Ram, N., & Coccia, M. (2018). Dysregulated Fear, Social Inhibition, and Respiratory Sinus Arrhythmia: A Replication and Extension. Child Development, 89(3), e214–e228. https://doi.org/10.1111/cdev.12774
https://doi.org/10.1111/cdev.12774

Outcome: successful
Outcome quote: Replicating prior findings, at 24 months, we identified a pattern of fearful behavior across contexts marked by higher fear to putatively low-threat situations.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Student understanding of graph slope and area under a graph: A comparison of physics and nonphysics students,10.1103/physrevphyseducres.14.020109,Physical Review Physics Education Research,Student understanding of graph slope and area under a curve: A replication study comparing first-year physics and economics students,10.1103/physrevphyseducres.15.020116,Physical Review Physics Education Research,"Klein, P., Küchemann, S., Brückner, S., Zlatkin-Troitschanskaia, O., & Kuhn, J. (2019). Student understanding of graph slope and area under a curve: A replication study comparing first-year physics and economics students. Physical Review Physics Education Research, 15(2). https://doi.org/10.1103/physrevphyseducres.15.020116",successful,"The findings broadly confirm the results of Susac et al.; that is, physics students perform better than nonphysics students.",NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Klein, P., Küchemann, S., Brückner, S., Zlatkin-Troitschanskaia, O., & Kuhn, J. (2019). Student understanding of graph slope and area under a curve: A replication study comparing first-year physics and economics students. Physical Review Physics Education Research, 15(2). https://doi.org/10.1103/physrevphyseducres.15.020116
https://doi.org/10.1103/physrevphyseducres.15.020116

Outcome: successful
Outcome quote: The findings broadly confirm the results of Susac et al.; that is, physics students perform better than nonphysics students.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Extending the nomological network of computational thinking with non-cognitive factors,10.1016/j.chb.2017.09.030,Computers in Human Behavior,Unravelling the numerical and spatial underpinnings of computational thinking: a pre-registered replication study,10.1080/08993408.2022.2079864,Computer Science Education,"Finke, S., Kemény, F., Sommer, M., Krnjic, V., Arendasy, M., Slany, W., & Landerl, K. (2022). Unravelling the numerical and spatial underpinnings of computational thinking: a pre-registered replication study. Computer Science Education, 32(3), 313–334. https://doi.org/10.1080/08993408.2022.2079864",successful,Results confirmed unique contributions of figural reasoning and visualization.,NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Finke, S., Kemény, F., Sommer, M., Krnjic, V., Arendasy, M., Slany, W., & Landerl, K. (2022). Unravelling the numerical and spatial underpinnings of computational thinking: a pre-registered replication study. Computer Science Education, 32(3), 313–334. https://doi.org/10.1080/08993408.2022.2079864
https://doi.org/10.1080/08993408.2022.2079864

Outcome: successful
Outcome quote: Results confirmed unique contributions of figural reasoning and visualization.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
An empirical analysis of the levers of control framework,10.1016/j.aos.2007.01.001,"Accounting, Organizations and Society",A Research Note on the Levers of Control Framework in Management Accounting: Replication and Cross‐Cultural Extension,10.1111/acfi.70148,Accounting &amp; Finance,"Wang, J., Wang, Z. (Alex), Ma, C., & Zhang, X. (2025). A Research Note on the Levers of Control Framework in Management Accounting: Replication and Cross‐Cultural Extension. Accounting &amp; Finance. Portico. https://doi.org/10.1111/acfi.70148",successful,"Most results of our survey study are consistent with those in Widener, which demonstrate the suitability of applying the LOC framework in non‐US settings.",NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Wang, J., Wang, Z. (Alex), Ma, C., & Zhang, X. (2025). A Research Note on the Levers of Control Framework in Management Accounting: Replication and Cross‐Cultural Extension. Accounting &amp; Finance. Portico. https://doi.org/10.1111/acfi.70148
https://doi.org/10.1111/acfi.70148

Outcome: successful
Outcome quote: Most results of our survey study are consistent with those in Widener, which demonstrate the suitability of applying the LOC framework in non‐US settings.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Weak support for a U-shaped pattern between societal gender equality and fertility when comparing societies across time,10.4054/demres.2019.40.2,Demographic Research,Reassessing the U-shaped relationship between gender equality and fertility: A replication and extension of Kolk’s (2019) study using comprehensive gender equality measures,10.4054/demres.2025.53.29,Demographic Research,"Lei, H. (2025). Reassessing the U-shaped relationship between gender equality and fertility: A replication and extension of Kolk’s (2019) study using comprehensive gender equality measures. Demographic Research, 53, 937–968. https://doi.org/10.4054/demres.2025.53.29",successful,The analysis identifies a conditional U-shaped relationship between gender equality and fertility,NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Lei, H. (2025). Reassessing the U-shaped relationship between gender equality and fertility: A replication and extension of Kolk’s (2019) study using comprehensive gender equality measures. Demographic Research, 53, 937–968. https://doi.org/10.4054/demres.2025.53.29
https://doi.org/10.4054/demres.2025.53.29

Outcome: successful
Outcome quote: The analysis identifies a conditional U-shaped relationship between gender equality and fertility
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
The Relationship Between Media Multitasking and Executive Function in Early Adolescents,10.1177/0272431614523133,The Journal of Early Adolescence,The Relationship Between Media Multitasking Behavior and Executive Function in Adolescence: A Replication Study,10.1177/0272431620950478,The Journal of Early Adolescence,"Rogobete, D. A., Ionescu, T., & Miclea, M. (2020). The Relationship Between Media Multitasking Behavior and Executive Function in Adolescence: A Replication Study. The Journal of Early Adolescence, 41(5), 725–753. https://doi.org/10.1177/0272431620950478",mixed,The same methodology as the original study was followed and its findings were partially replicated.,NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Rogobete, D. A., Ionescu, T., & Miclea, M. (2020). The Relationship Between Media Multitasking Behavior and Executive Function in Adolescence: A Replication Study. The Journal of Early Adolescence, 41(5), 725–753. https://doi.org/10.1177/0272431620950478
https://doi.org/10.1177/0272431620950478

Outcome: mixed
Outcome quote: The same methodology as the original study was followed and its findings were partially replicated.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Status Inconsistency and the Vote: A Four Nation Test,10.2307/2091819,American Sociological Review,Status Inconsistency and Party Choice in Canada: An Attempt to Replicate,10.1017/s000842390002984x,Canadian Journal of Political Science,"Segal, D. R. (1970). Status Inconsistency and Party Choice in Canada: An Attempt to Replicate. Canadian Journal of Political Science, 3(3), 471–474. https://doi.org/10.1017/s000842390002984x",mixed,"“While our inconsistency results are statistically significant, it is clear that the main effect of religion is by far the most important determinant of party choice, and that in general, main status effects are more powerfully related to party choice than are status inconsistency effects.”",NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Segal, D. R. (1970). Status Inconsistency and Party Choice in Canada: An Attempt to Replicate. Canadian Journal of Political Science, 3(3), 471–474. https://doi.org/10.1017/s000842390002984x
https://doi.org/10.1017/s000842390002984x

Outcome: mixed
Outcome quote: “While our inconsistency results are statistically significant, it is clear that the main effect of religion is by far the most important determinant of party choice, and that in general, main status effects are more powerfully related to party choice than are status inconsistency effects.”
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Separate but correlated: The latent structure of space and mathematics across development.,10.1037/xge0000182,Journal of Experimental Psychology: General,The Latent Structure of Spatial Skills and Mathematics: A Replication of the Two-Factor Model,10.1080/15248372.2017.1346658,Journal of Cognition and Development,"Mix, K. S., Levine, S. C., Cheng, Y.-L., Young, C. J., Hambrick, D. Z., & Konstantopoulos, S. (2017). The Latent Structure of Spatial Skills and Mathematics: A Replication of the Two-Factor Model. Journal of Cognition and Development, 18(4), 465–492. https://doi.org/10.1080/15248372.2017.1346658",mixed,"The overall pattern obtained in Wave 1—2 highly correlated domain-specific factors—was clearly replicated in Wave 2. However, more subtle effects involving cross-domain loading were only partially replicated and generally appear fragile and context-specific.",NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Mix, K. S., Levine, S. C., Cheng, Y.-L., Young, C. J., Hambrick, D. Z., & Konstantopoulos, S. (2017). The Latent Structure of Spatial Skills and Mathematics: A Replication of the Two-Factor Model. Journal of Cognition and Development, 18(4), 465–492. https://doi.org/10.1080/15248372.2017.1346658
https://doi.org/10.1080/15248372.2017.1346658

Outcome: mixed
Outcome quote: The overall pattern obtained in Wave 1—2 highly correlated domain-specific factors—was clearly replicated in Wave 2. However, more subtle effects involving cross-domain loading were only partially replicated and generally appear fragile and context-specific.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,10.1038/nature09144,Nature,Replication Study: A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,10.7554/elife.51019,eLife,"Kerwin, J., Khan, I., Iorns, E., Tsui, R., Denis, A., Perfito, N., & Errington, T. M. (2020). Replication Study: A coding-independent function of gene and pseudogene mRNAs regulates tumour biology. ELife, 9. CLOCKSS. https://doi.org/10.7554/elife.51019",mixed,"“PTEN and/or PTENP1 depletion in DU145 cells decreased PTEN protein expression, which was similar to the original study.” “We found PTEN 3'UTR overexpression in DU145 cells did not impact PTENP1 expression, while the original study reported PTEN 3'UTR increased PTENP1 levels.”",NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Kerwin, J., Khan, I., Iorns, E., Tsui, R., Denis, A., Perfito, N., & Errington, T. M. (2020). Replication Study: A coding-independent function of gene and pseudogene mRNAs regulates tumour biology. ELife, 9. CLOCKSS. https://doi.org/10.7554/elife.51019
https://doi.org/10.7554/elife.51019

Outcome: mixed
Outcome quote: “PTEN and/or PTENP1 depletion in DU145 cells decreased PTEN protein expression, which was similar to the original study.” “We found PTEN 3'UTR overexpression in DU145 cells did not impact PTENP1 expression, while the original study reported PTEN 3'UTR increased PTENP1 levels.”
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
CNS- and ANS-arousal predict response to antidepressant medication: Findings from the randomized iSPOT-D study,10.1016/j.jpsychires.2015.12.001,Journal of Psychiatric Research,NeuroPharm study: EEG wakefulness regulation as a biomarker in MDD,10.1016/j.jpsychires.2021.06.021,Journal of Psychiatric Research,"Ip, C.-T., Ganz, M., Dam, V. H., Ozenne, B., Rüesch, A., Köhler-Forsberg, K., Jørgensen, M. B., Frokjaer, V. G., Søgaard, B., Christensen, S. R., Knudsen, G. M., & Olbrich, S. (2021). NeuroPharm study: EEG wakefulness regulation as a biomarker in MDD. Journal of Psychiatric Research, 141, 57–65. https://doi.org/10.1016/j.jpsychires.2021.06.021",mixed,"Responders defined by the iSPOT-D criteria showed a higher propensity toward low vigilance stages in comparison to patients with no response at pretreatment, however, this did not apply when using the NeuroPharm criteria.",NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Ip, C.-T., Ganz, M., Dam, V. H., Ozenne, B., Rüesch, A., Köhler-Forsberg, K., Jørgensen, M. B., Frokjaer, V. G., Søgaard, B., Christensen, S. R., Knudsen, G. M., & Olbrich, S. (2021). NeuroPharm study: EEG wakefulness regulation as a biomarker in MDD. Journal of Psychiatric Research, 141, 57–65. https://doi.org/10.1016/j.jpsychires.2021.06.021
https://doi.org/10.1016/j.jpsychires.2021.06.021

Outcome: mixed
Outcome quote: Responders defined by the iSPOT-D criteria showed a higher propensity toward low vigilance stages in comparison to patients with no response at pretreatment, however, this did not apply when using the NeuroPharm criteria.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Songs and emotions: are lyrics and melodies equal partners?,10.1177/0305735606067168,Psychology of Music,Lyrics and melodies: Do both affect emotions equally? A replication and extension of Ali and Peynircioğlu (2006),10.1177/10298649221149109,Musicae Scientiae,"Ma, Y., Baker, D. J., Vukovics, K. M., Davis, C. J., & Elliott, E. M. (2023). Lyrics and melodies: Do both affect emotions equally? A replication and extension of Ali and Peynircioğlu (2006). Musicae Scientiae, 28(1), 174–186. https://doi.org/10.1177/10298649221149109",failed,"The results we obtained in our replication contradicted those of the original study, for several variables.",NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Ma, Y., Baker, D. J., Vukovics, K. M., Davis, C. J., & Elliott, E. M. (2023). Lyrics and melodies: Do both affect emotions equally? A replication and extension of Ali and Peynircioğlu (2006). Musicae Scientiae, 28(1), 174–186. https://doi.org/10.1177/10298649221149109
https://doi.org/10.1177/10298649221149109

Outcome: failed
Outcome quote: The results we obtained in our replication contradicted those of the original study, for several variables.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
"Friends or Strangers? Firm-Specific Uncertainty, Market Uncertainty, and Network Partner Selection",10.1287/orsc.1040.0065,Organization Science,"Friends or strangers? It all depends on context: A replication and extension of <scp>B</scp> eckman, Haunschild, and <scp>P</scp> hillips (2004)",10.1002/smj.2573,Strategic Management Journal,"Howard, M. D., Withers, M. C., Carnes, C. M., & Hillman, A. J. (2016). Friends or strangers? It all depends on context: A replication and extension of                    <scp>B</scp>                    eckman, Haunschild, and                    <scp>P</scp>                    hillips (2004). Strategic Management Journal, 37(11), 2222–2234. Portico. https://doi.org/10.1002/smj.2573",failed,"Over this broader time horizon, we find a shift in behavior, with companies facing firm‐specific uncertainty seeking to reinforce their current relationships",NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Howard, M. D., Withers, M. C., Carnes, C. M., & Hillman, A. J. (2016). Friends or strangers? It all depends on context: A replication and extension of                    <scp>B</scp>                    eckman, Haunschild, and                    <scp>P</scp>                    hillips (2004). Strategic Management Journal, 37(11), 2222–2234. Portico. https://doi.org/10.1002/smj.2573
https://doi.org/10.1002/smj.2573

Outcome: failed
Outcome quote: Over this broader time horizon, we find a shift in behavior, with companies facing firm‐specific uncertainty seeking to reinforce their current relationships
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Top–down restoration of speech in cochlear-implant users,10.1016/j.heares.2013.12.003,Hearing Research,Impacts of signal processing factors on perceptual restoration in cochlear-implant users,10.1121/10.0010258,The Journal of the Acoustical Society of America,"Jaekel, B. N., Weinstein, S., Newman, R. S., & Goupell, M. J. (2022). Impacts of signal processing factors on perceptual restoration in cochlear-implant users. The Journal of the Acoustical Society of America, 151(5), 2898–2915. https://doi.org/10.1121/10.0010258",failed,"Surprisingly, evidence that participants with cochlear implants experienced the perceptual restoration illusion was not observed across the two planned experiments.",NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Jaekel, B. N., Weinstein, S., Newman, R. S., & Goupell, M. J. (2022). Impacts of signal processing factors on perceptual restoration in cochlear-implant users. The Journal of the Acoustical Society of America, 151(5), 2898–2915. https://doi.org/10.1121/10.0010258
https://doi.org/10.1121/10.0010258

Outcome: failed
Outcome quote: Surprisingly, evidence that participants with cochlear implants experienced the perceptual restoration illusion was not observed across the two planned experiments.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
THE EFFECTS OF A SELF‐INSTRUCTIONAL PACKAGE ON OVERACTIVE PRESCHOOL BOYS,10.1901/jaba.1976.9-179,Journal of Applied Behavior Analysis,Self-instructional training with preschoolers: an attempt to replicate.,10.17615/q9na-cr13,The University of North Carolina at Chapel Hill University Libraries,"Wasik, B H, &amp; Billings, D C. (1985). Self-instructional training with preschoolers: an attempt to replicate. <i>The University of North Carolina at Chapel Hill University Libraries</i>. https://doi.org/10.17615/Q9NA-CR13",failed,"our self-instructional training did not produce socially significant, durable increases in either appropriate classroom behavior or changes in teacher ratings of the children's behavior.",NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Wasik, B H, &amp; Billings, D C. (1985). Self-instructional training with preschoolers: an attempt to replicate. <i>The University of North Carolina at Chapel Hill University Libraries</i>. https://doi.org/10.17615/Q9NA-CR13
https://doi.org/10.17615/q9na-cr13

Outcome: failed
Outcome quote: our self-instructional training did not produce socially significant, durable increases in either appropriate classroom behavior or changes in teacher ratings of the children's behavior.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Reducing the Racial Achievement Gap: A Social-Psychological Intervention,10.1126/science.1128317,Science,New evidence on self-affirmation effects and theorized sources of heterogeneity from large-scale replications.,10.1037/edu0000141,Journal of Educational Psychology,"Hanselman, P., Rozek, C. S., Grigg, J., & Borman, G. D. (2017). New evidence on self-affirmation effects and theorized sources of heterogeneity from large-scale replications. Journal of Educational Psychology, 109(3), 405–424. https://doi.org/10.1037/edu0000141",failed,We found no evidence of effects in this replication study and estimates were precise enough to reject benefits larger than an effect size of 0.10.,NA,3,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 3 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Hanselman, P., Rozek, C. S., Grigg, J., & Borman, G. D. (2017). New evidence on self-affirmation effects and theorized sources of heterogeneity from large-scale replications. Journal of Educational Psychology, 109(3), 405–424. https://doi.org/10.1037/edu0000141
https://doi.org/10.1037/edu0000141

Outcome: failed
Outcome quote: We found no evidence of effects in this replication study and estimates were precise enough to reject benefits larger than an effect size of 0.10.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
